##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   3.040000e+00    -2.953198e+00    -2.292106e+00     4.678370e-04  
   3.050000e+00    -2.992577e+00    -2.299646e+00     4.652898e-04  
   3.060000e+00    -3.029262e+00    -2.307186e+00     4.651791e-04  
   3.070000e+00    -3.061038e+00    -2.314725e+00     4.675149e-04  
   3.080000e+00    -3.086160e+00    -2.322265e+00     4.715256e-04  
   3.090000e+00    -3.103493e+00    -2.329805e+00     4.759281e-04  
   3.100000e+00    -3.112600e+00    -2.337345e+00     4.793468e-04  
   3.110000e+00    -3.113769e+00    -2.344885e+00     4.807231e-04  
   3.120000e+00    -3.107973e+00    -2.352424e+00     4.796020e-04  
   3.130000e+00    -3.096780e+00    -2.359964e+00     4.762460e-04  
   3.140000e+00    -3.082203e+00    -2.367504e+00     4.715653e-04  
   3.150000e+00    -3.066524e+00    -2.375044e+00     4.668719e-04  
   3.160000e+00    -3.052082e+00    -2.382584e+00     4.634995e-04  
   3.170000e+00    -3.041064e+00    -2.390124e+00     4.623812e-04  
   3.180000e+00    -3.035291e+00    -2.397663e+00     4.637360e-04  
   3.190000e+00    -3.036036e+00    -2.405203e+00     4.669984e-04  
   3.200000e+00    -3.043872e+00    -2.412743e+00     4.710271e-04  
   3.210000e+00    -3.058572e+00    -2.420283e+00     4.744947e-04  
   3.220000e+00    -3.079048e+00    -2.427823e+00     4.763032e-04  
   3.230000e+00    -3.103361e+00    -2.435363e+00     4.759000e-04  
   3.240000e+00    -3.128773e+00    -2.442902e+00     4.734279e-04  
   3.250000e+00    -3.151854e+00    -2.450442e+00     4.696908e-04  
   3.260000e+00    -3.168638e+00    -2.457982e+00     4.659374e-04  
   3.270000e+00    -3.174800e+00    -2.465522e+00     4.634973e-04  
   3.280000e+00    -3.165867e+00    -2.473062e+00     4.633563e-04  
   3.290000e+00    -3.137435e+00    -2.480601e+00     4.658143e-04  
   3.300000e+00    -3.085389e+00    -2.488141e+00     4.703739e-04  
   3.310000e+00    -3.006100e+00    -2.495681e+00     4.759090e-04  
   3.320000e+00    -2.896617e+00    -2.503221e+00     4.810329e-04  
   3.330000e+00    -2.754818e+00    -2.510761e+00     4.845147e-04  
   3.340000e+00    -2.579530e+00    -2.518301e+00     4.856114e-04  
   3.350000e+00    -2.370609e+00    -2.525840e+00     4.842479e-04  
   3.360000e+00    -2.128987e+00    -2.533380e+00     4.810235e-04  
   3.370000e+00    -1.856670e+00    -2.540920e+00     4.770469e-04  
   3.380000e+00    -1.556713e+00    -2.548460e+00     4.736248e-04  
   3.390000e+00    -1.233147e+00    -2.556000e+00     4.718691e-04  
   3.400000e+00    -8.908920e-01    -2.563539e+00     4.723390e-04  
   3.410000e+00    -5.356326e-01    -2.571079e+00     4.748588e-04  
   3.420000e+00    -1.736840e-01    -2.578619e+00     4.785903e-04  
   3.430000e+00     1.881652e-01    -2.586159e+00     4.823266e-04  
   3.440000e+00     5.428187e-01    -2.593699e+00     4.848829e-04  
   3.450000e+00     8.830487e-01    -2.601239e+00     4.854455e-04  
   3.460000e+00     1.201678e+00    -2.608778e+00     4.837944e-04  
   3.470000e+00     1.491763e+00    -2.616318e+00     4.803581e-04  
   3.480000e+00     1.746782e+00    -2.623858e+00     4.760984e-04  
   3.490000e+00     1.960814e+00    -2.631398e+00     4.722406e-04  
   3.500000e+00     2.128716e+00    -2.638938e+00     4.699047e-04  
   3.510000e+00     2.246281e+00    -2.646478e+00     4.697426e-04  
